Tokyo, Tōkyō, JPN	35.6897	139.6922
Jakarta, IDN	-6.175	106.8275
Delhi, IND	28.61	77.23
Guangzhou, Guangdong, CHN	23.13	113.26
Mumbai, Mahārāshtra, IND	19.0761	72.8775
Manila, PHL	14.5958	120.9772
Shanghai, CHN	31.2286	121.4747
Sao Paulo, BRA	-23.55	-46.6333
Seoul, KOR	37.56	126.99
Mexico City, Ciudad de México, MEX	19.4333	-99.1333
Cairo, Al Qāhirah, EGY	30.0444	31.2358
New York, USA	40.6943	-73.9249
Dhaka, BGD	23.7639	90.3889
Beijing, CHN	39.9067	116.3975
Kolkata, West Bengal, IND	22.5675	88.37
Bangkok, Krung Thep Maha Nakhon, THA	13.7525	100.4942
Shenzhen, Guangdong, CHN	22.5415	114.0596
Moscow, Moskva, RUS	55.7558	37.6172
Buenos Aires, Buenos Aires, Ciudad Autónoma de, ARG	-34.6033	-58.3817
